seniorly_wp_id,seniorly_title,seniorly_address,seniorly_url,senior_place_wp_id,senior_place_title,senior_place_address,senior_place_url,address_similarity,city,state
6742,A Paradise For Parents Senior Living,"15292 West Campbell Avenue, Goodyear, Az 85395",https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,6741,A Paradise For Parents Senior Living,"15292 Campbell Avenue, Goodyear, Az 85395",https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,0.972972972972973,,
6902,Angelic Heart Assisted Living,"4949 West Erie Street, Chandler, Az 85226",https://www.seniorly.com/assisted-living/arizona/chandler/dignified-assisted-living-llc,7067,Beautiful Minds Assisted Living,"4949 West Erie Street, Chandler, Az 85226",https://app.seniorplace.com/communities/show/4f6a15b0-348a-4eac-8067-2860bc1550d8,1.0,,
6968,Arrowhead Senior Living Ii,"6958 West Kristal Way, Glendale, Az 85308",https://www.seniorly.com/assisted-living/arizona/glendale/arrowhead-senior-living-ii,6967,Arrowhead Senior Living I I,"6958 West Kristal Way, Glendale, Az 85308",https://app.seniorplace.com/communities/show/227a1dcf-7550-494d-ab23-1f2df2d1635b,1.0,,
7029,Avista Senior Living Apache Junction,"675 West Broadway Avenue, Apache Junction, Az 85120",https://www.seniorly.com/assisted-living/arizona/apache-junction/avista-senior-living-apache-junction,7019,Aurora Place,"675 West Broadway Avenue, Apache Junction, Az 85120",https://app.seniorplace.com/communities/show/07d1e823-5cb3-4853-873f-51a9e0072259,1.0,,
7349,County Villa,"802 West 4Th Place, Mesa, Az 85201",https://www.seniorly.com/assisted-living/arizona/mesa/county-villa-llc,7347,Country Villa,"802 W 4Th Pl, Mesa, Az 85201",https://app.seniorplace.com/communities/show/37d343f1-f655-4d65-9dc5-a014133fee97,1.0,,
7355,Crismon Peaks Assisted Living,"10027 East Hillview Street, Mesa, Az 85207",https://www.seniorly.com/assisted-living/arizona/mesa/crismon-peaks-assisted-living-llc,7354,Crismon Peaks Assisted Living,"10027 Hillview Street, Mesa, Az 85207",https://app.seniorplace.com/communities/show/fe22bf3e-f20d-4c50-b37c-7bb350cf0508,0.96875,,
8096,Higley House Care Home,"885 North Los Gatos Lane, Gilbert, Az 85234",https://www.seniorly.com/assisted-living/arizona/gilbert/higley-house-care-home-llc,8094,Higley House Care Home,"885 North Losgatos Lane, Gilbert, Az 85234",https://app.seniorplace.com/communities/show/e6cfdd21-5039-495d-88fe-777c67571861,0.9855072463768116,,
9953,The Retreat At Desert Cove,"10031 East Desert Cove Avenue, Scottsdale, Az 85260",https://www.seniorly.com/assisted-living/arizona/scottsdale/the-retreat-at-desert-cove,9949,The Retreat,"10031 East Desert Cove Avenue, Scottsdale, Az 85260",https://app.seniorplace.com/communities/show/00fc6e3e-a868-4669-9e5d-a8fd2e75de9f,1.0,,
10286,Carefree Heights,"35720 North 34Th Drive, Phoenix, Az 85086",https://www.seniorly.com/assisted-living/arizona/phoenix/carefree-heights,7208,Carefree Height Assisted Living,"35720 North 34Th Drive, Phoenix, Az 85086",https://app.seniorplace.com/communities/show/d2b64ef7-8ce3-42ff-abc4-90638f16cd82,1.0,,
10287,Docs Place,"1722 East Tamar Road, Phoenix, Az 85086",https://www.seniorly.com/assisted-living/arizona/phoenix/doc-s-place,7206,Carefree Assisted Living,"1722 East Tamar Road, Phoenix, Az 85086",https://app.seniorplace.com/communities/show/849f1522-3aae-4538-b5fe-630ae3189287,1.0,,
