ID,Title,seniorplace_url,seniorly_url,Slug,Original_Dash2_Slug,Content,Permalink
6742,IMG_9898,field_68af89a6f8692,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,a-paradise-for-parents-senior-living,a-paradise-for-parents-senior-living-2,"A Paradise For Parent's Senior Living is a thoughtfully designed residence focused on quality living for seniors. Amenities include air conditioning, all day dining, allergy-sensitive, offering convenience and ease. Here, community and compassion go hand in hand.",https://aplaceforseniorscms.kinsta.cloud/listing/a-paradise-for-parents-senior-living-2/
6768,,field_68af89a6f8692,https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2,abracadabra-assisted-living,abracadabra-assisted-living-2,"At Abracadabra Assisted Living 2, residents find a supportive environment that puts well-being first. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. Everything is centered around comfort, dignity, and personalized support.",https://aplaceforseniorscms.kinsta.cloud/listing/abracadabra-assisted-living-2/
6822,,field_68af89a6f8692,https://www.seniorly.com/assisted-living/arizona/chandler/ageless-angels-alh-2,ageless-angels-alh,ageless-angels-alh-2,"At Ageless Angels ALH 2, residents find a supportive environment that puts well-being first. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. It's a place where thoughtful care meets everyday comfort.",https://aplaceforseniorscms.kinsta.cloud/listing/ageless-angels-alh-2/
6830,2fcf6e7025651132bdc1739a71d41f38,https://app.seniorplace.com/communities/show/ab7a2842-cf71-4e7c-87a4-78ef120ebcdb,field_68af89b8e4cd0,ahwatukee-manor-assisted-living,ahwatukee-manor-assisted-living-2,,https://aplaceforseniorscms.kinsta.cloud/listing/ahwatukee-manor-assisted-living-2/
6849,,field_68af89a6f8692,https://www.seniorly.com/assisted-living/arizona/scottsdale/aloha-assisted-living-scottsdale,aloha-assisted-living,aloha-assisted-living-2,"Aloha Assisted Living creates a space where seniors can feel secure and cared for. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. Designed to promote independence while providing just the right level of assistance.",https://aplaceforseniorscms.kinsta.cloud/listing/aloha-assisted-living-2/
6864,57e97e0bc78d785757a8a759b1b8798a,https://app.seniorplace.com/communities/show/abff60fc-e8fd-45b7-98ac-21b3f767a7d2,field_68af89b8e4cd0,amazing-comfort-homes,amazing-comfort-homes-2,,https://aplaceforseniorscms.kinsta.cloud/listing/amazing-comfort-homes-2/
6872,ambience-care-home-2-living-3,field_68af89a6f8692,https://www.seniorly.com/assisted-living/arizona/peoria/ambience-care-home-2,ambience-care-home,ambience-care-home-2,"Ambience Care Home 2 is a thoughtfully designed residence focused on quality living for seniors. Amenities include all day dining, allergy-sensitive, community-sponsored activities, offering convenience and ease. Everything is centered around comfort, dignity, and personalized support.",https://aplaceforseniorscms.kinsta.cloud/listing/ambience-care-home-2/
6894,36dacad1b87fd6d62fc82d64b12f783e,https://app.seniorplace.com/communities/show/d0df1fb4-66b2-453b-9450-e3a222789a0d,field_68af89b8e4cd0,angel-wings-assisted-living,angel-wings-assisted-living-2,,https://aplaceforseniorscms.kinsta.cloud/listing/angel-wings-assisted-living-2/
6901,998648a355aaaa1bff68d701fd8c9c7e,https://app.seniorplace.com/communities/show/55f8a702-183e-437b-82d3-a9e5b495657e,field_68af89b8e4cd0,angelas-assisted-living-ii,angelas-assisted-living-ii-2,,https://aplaceforseniorscms.kinsta.cloud/listing/angelas-assisted-living-ii-2/
6906,8f7843a532c9c5a4014440bbc4ea5140,https://app.seniorplace.com/communities/show/feb56323-3312-4115-bf7b-c80d74e98597,field_68af89b8e4cd0,angels-paradise-care-home,angels-paradise-care-home-2,,https://aplaceforseniorscms.kinsta.cloud/listing/angels-paradise-care-home-2/
