ID,Title,current_type,website,senior_place_url,matched_url,sp_title,sp_type,action
,,a:1:{i:0;i:1;},https://app.seniorplace.com/communities/show/6abadb36-0cff-4931-a9ca-154f27c5795e,https://app.seniorplace.com/communities/show/6abadb36-0cff-4931-a9ca-154f27c5795e,https://app.seniorplace.com/communities/show/6abadb36-0cff-4931-a9ca-154f27c5795e,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,b36dddcafed54b54b45057868103c255,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,https://app.seniorplace.com/communities/show/08877849-942c-4497-abfb-8901097e33a6,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,5137bf5e4152350b9ee392a3facb228e,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,https://app.seniorplace.com/communities/show/f5163ac8-02d3-4501-b143-7c37dbed3009,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,https://app.seniorplace.com/communities/show/372ea584-9f6b-44c2-9ba9-48f480527268,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,,a:1:{i:0;i:1;},https://app.seniorplace.com/communities/show/e810e0a2-c64d-4426-b851-348e70eed613,https://app.seniorplace.com/communities/show/e810e0a2-c64d-4426-b851-348e70eed613,https://app.seniorplace.com/communities/show/e810e0a2-c64d-4426-b851-348e70eed613,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,db13b7cb-e94a-42c0-bf1a-db3ad7e814e4,a:1:{i:0;i:1;},https://app.seniorplace.com/communities/show/6dcc1e50-901d-49e5-84d3-5715e4f26184,https://app.seniorplace.com/communities/show/6dcc1e50-901d-49e5-84d3-5715e4f26184,https://app.seniorplace.com/communities/show/6dcc1e50-901d-49e5-84d3-5715e4f26184,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,259e073d8df7e669192fd92ca325cc5d,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,https://app.seniorplace.com/communities/show/ab5cf68b-1c1b-4544-85a4-13898cb58e18,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,909594c0966e36d8d19128705ee69d09,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,https://app.seniorplace.com/communities/show/b7ee9f49-74ae-46fa-9cde-8aae74420365,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,90f6d1eed8ded5d33ae9355960d896fc,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,92c20f82bae0c3ce591d625ee433ca9a,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03,https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03,https://app.seniorplace.com/communities/show/cc3d51b0-b501-4ca7-88f9-9a16f427da03,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,125b701dfb425ce2361405fbd726367d,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/c6d61b16-4893-48d7-8082-da8ab7012c2c,https://app.seniorplace.com/communities/show/c6d61b16-4893-48d7-8082-da8ab7012c2c,https://app.seniorplace.com/communities/show/c6d61b16-4893-48d7-8082-da8ab7012c2c,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,5dca446820ff368ab34b930cbd1ce9e4,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/4464b3fe-201a-4e6b-8b7a-a28f6d0a0585,https://app.seniorplace.com/communities/show/4464b3fe-201a-4e6b-8b7a-a28f6d0a0585,https://app.seniorplace.com/communities/show/4464b3fe-201a-4e6b-8b7a-a28f6d0a0585,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,ec168146-0a23-420b-844a-7de90006827f,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/4e2dcc51-4ac7-40f1-b3a6-5a20f3759b99,https://app.seniorplace.com/communities/show/4e2dcc51-4ac7-40f1-b3a6-5a20f3759b99,https://app.seniorplace.com/communities/show/4e2dcc51-4ac7-40f1-b3a6-5a20f3759b99,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
,104fb52d8e7e9cc97c98664733b86d12,a:1:{i:0;i:162;},https://app.seniorplace.com/communities/show/bc66eb9a-8a42-49c5-9e76-f8921887366d,https://app.seniorplace.com/communities/show/bc66eb9a-8a42-49c5-9e76-f8921887366d,https://app.seniorplace.com/communities/show/bc66eb9a-8a42-49c5-9e76-f8921887366d,Vista Winds,"Assisted Living Home, Memory Care",add_memory_care
