ID,Title,website
11880,A Love For Life,https://app.seniorplace.com/communities/show/b31963b7-62f0-40b1-b3b9-4575ca65a7ca
11882,A Love For Life,https://app.seniorplace.com/communities/show/c725d27a-f6ee-43ee-8c4c-48ec2263b25a
6741,A Paradise For Parents Senior Living,https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4
6742,A Paradise For Parents Senior Living,https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc
6751,A Special Place Care Home,https://app.seniorplace.com/communities/show/042870fa-33a5-4950-8945-d5c60e4e72cc
11213,A Special Place Care Home,https://www.seniorly.com/assisted-living/arizona/yuma/a-special-place-care-home
11891,A Wildflower Assisted Living And Care Home,https://app.seniorplace.com/communities/show/b7be47eb-24c0-4098-889a-bd1b0832e4d3
11893,A Wildflower Assisted Living And Care Home,https://app.seniorplace.com/communities/show/9f431046-b830-4178-bf7b-b699e08d57a7
11895,A Wildflower Assisted Living And Care Home,https://app.seniorplace.com/communities/show/fb16a527-6630-4e2e-8901-810b8ffc9c10
11897,A Wildflower Assisted Living And Care Home,https://app.seniorplace.com/communities/show/084aa593-ae50-4291-be0c-c931ddd8dae2
11899,A Wildflower Assisted Living And Care Home,https://app.seniorplace.com/communities/show/bd722838-e59c-4e8b-a080-080ab0f0f8e9
11901,A Wildflower Assisted Living And Care Home,https://app.seniorplace.com/communities/show/ca95e8e7-6caf-43b9-8661-2ae230fd7ab0
6783,Acoma Assisted Living,https://app.seniorplace.com/communities/show/436ffb7b-0855-45a6-83db-d2ccc4eae64b
10784,Acoma Assisted Living,https://www.seniorly.com/assisted-living/arizona/phoenix/acoma-assisted-living-home
10993,Acoya Shea,https://www.seniorly.com/assisted-living/arizona/scottsdale/acoya-shea-senior-living
6786,Acoya Shea,https://app.seniorplace.com/communities/show/bd140ecf-f482-46a3-9097-dda13dc37447
6790,Acuna At Morning Sun,https://app.seniorplace.com/communities/show/4a1723d3-48f1-4940-a331-09f58491e80f
10591,Acuna At Morning Sun,https://www.seniorly.com/assisted-living/arizona/san-tan-valley/acuna-at-morning-sun
11952,Advantage Assisted Living,https://app.seniorplace.com/communities/show/82020c19-819a-419b-ab4a-9569e6e87558
11950,Advantage Assisted Living,https://app.seniorplace.com/communities/show/bec08a19-13aa-433e-923d-1d5b282b29ac
10300,Aging Gracefully,https://www.seniorly.com/assisted-living/arizona/glendale/aging-gracefully
6824,Aging Gracefully,https://app.seniorplace.com/communities/show/31e82778-f8da-4b56-b711-5c6b5523b347
6830,Ahwatukee Manor Assisted Living,https://app.seniorplace.com/communities/show/ab7a2842-cf71-4e7c-87a4-78ef120ebcdb
6829,Ahwatukee Manor Assisted Living,https://app.seniorplace.com/communities/show/742984c9-e721-4864-a81d-885a86f76e95
10590,Alder Leaf Assisted Living,https://www.seniorly.com/assisted-living/arizona/queen-creek/alder-leaf-assisted-living
6835,Alder Leaf Assisted Living,https://app.seniorplace.com/communities/show/4a010675-d490-4298-9b79-f3d609b967d8
6848,Aloha Assisted Living,https://www.seniorly.com/assisted-living/arizona/tucson/aloha-assisted-living-home-llc
6849,Aloha Assisted Living,https://www.seniorly.com/assisted-living/arizona/scottsdale/aloha-assisted-living-scottsdale
6864,Amazing Comfort Homes,https://app.seniorplace.com/communities/show/abff60fc-e8fd-45b7-98ac-21b3f767a7d2
6863,Amazing Comfort Homes,https://app.seniorplace.com/communities/show/1ba55b01-46bf-4390-8c4a-836c01f54698
6894,Angel Wings Assisted Living,https://app.seniorplace.com/communities/show/d0df1fb4-66b2-453b-9450-e3a222789a0d
6893,Angel Wings Assisted Living,https://app.seniorplace.com/communities/show/3a0be5d4-1e65-4990-8d4b-af63ad6e1640
6901,Angelas Assisted Living Ii,https://app.seniorplace.com/communities/show/55f8a702-183e-437b-82d3-a9e5b495657e
6900,Angelas Assisted Living Ii,https://app.seniorplace.com/communities/show/49fe88dd-09f0-40e3-9b75-3b7a639851bc
6899,Angels Touch Care Home,https://app.seniorplace.com/communities/show/e80c0309-4f98-432c-b1ea-277225d9f702
10666,Angels Touch Care Home,https://www.seniorly.com/assisted-living/arizona/fort-mohave/angel-s-touch-care-home
6908,Angels Wings Assisted Living,https://app.seniorplace.com/communities/show/d6b5dbcb-9de3-48db-890f-dbc6317377bd
10600,Angels Wings Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/angels-wings-assisted-living-home
6912,Annes Assisted Living,https://app.seniorplace.com/communities/show/95ddd5ac-8e26-4803-b5c5-0a2a8bfbccee
6911,Annes Assisted Living,https://app.seniorplace.com/communities/show/21aa939c-ef0c-46f6-985e-9c670b299c58
6913,Annies Care Home,https://app.seniorplace.com/communities/show/65035053-e6bb-42bc-ad95-1b7a53e51c48
10747,Annies Care Home,https://www.seniorly.com/assisted-living/arizona/glendale/annie-s-care-home
6915,Anthem Senior Living,https://app.seniorplace.com/communities/show/de6a9d77-02fe-4ea7-9d51-1f1d30c9cef4
10277,Anthem Senior Living,https://www.seniorly.com/assisted-living/arizona/phoenix/anthem-senior-living
12005,Apple Tree Assisted Living,https://app.seniorplace.com/communities/show/6aff27fd-d0c0-4dce-8b2e-dec210a57b5b
12003,Apple Tree Assisted Living,https://app.seniorplace.com/communities/show/5baab959-b6d4-426a-b7b1-6cdab8b9d892
10305,Arbor Rose Senior Care,https://www.seniorly.com/assisted-living/arizona/mesa/arbor-rose-senior-care
6921,Arbor Rose Senior Care,https://app.seniorplace.com/communities/show/6bd1d1e6-1ddf-4a8f-8cb3-549fd20ef4a3
12038,Arbor View,https://app.seniorplace.com/communities/show/7acf57b0-00ed-410b-9481-5f32ef2fe0ba
12036,Arbor View,https://app.seniorplace.com/communities/show/058536c2-6017-463a-b7b3-b771bb5001de
11051,Arcadia Home Care,https://www.seniorly.com/assisted-living/arizona/phoenix/arcadia-home-care-llc
6927,Arcadia Home Care,https://app.seniorplace.com/communities/show/14a8787d-3de2-404f-8d7f-3f3a233df9f3
10477,Archangel Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/archangel-assisted-living
6930,Archangel Assisted Living,https://www.seniorly.com/assisted-living/arizona/chandler/archangel-assisted-living-inc
6932,Arden Haven Assisted Living,https://app.seniorplace.com/communities/show/d44b14cb-44d1-42f6-82cb-8bbbbaf7307c
6931,Arden Haven Assisted Living,https://app.seniorplace.com/communities/show/f9055310-49ad-44ad-88c9-d41ed1ba8469
6935,Arden Villa,https://app.seniorplace.com/communities/show/153b87e6-0c6f-47ab-83ee-88fc07fe8a1f
6934,Arden Villa,https://app.seniorplace.com/communities/show/edebcb53-a1b1-4217-a91b-0efb68e80fca
10623,Arizona Angels,https://www.seniorly.com/assisted-living/arizona/dewey/arizona-angels-dewey
