seniorly_wp_id,seniorly_title,seniorly_address,seniorly_url,senior_place_wp_id,senior_place_title,senior_place_address,senior_place_url,match_score,city,state
,A I Adult Care Home,"5327 East Anderson Drive, Scottsdale, Az 85254",https://www.seniorly.com/assisted-living/arizona/scottsdale/a-i-adult-care-home,,G I Adult Care Home,"4749 West Piute Avenue, Glendale, Az 85308",https://app.seniorplace.com/communities/show/0480e1d7-f49f-49b7-b375-b8cedd80abe8,0.7422222222222221,a:1:{i:0;i:111;},
,A Happy Place Adult Care Home,"4918 East Karen Drive, Scottsdale, Az 85254",https://www.seniorly.com/assisted-living/arizona/scottsdale/a-happy-place-adult-care-home-inc,,A A A Adult Care Home,"5720 East 26Th Street, Tucson, Az 85711",https://app.seniorplace.com/communities/show/125dfb03-f762-4ee8-8fd9-e23ce69e6f5d,0.6333333333333333,a:1:{i:0;i:111;},
,A Paradise For Parents Senior Living,"15292 West Campbell Avenue, Goodyear, Az 85395",https://www.seniorly.com/assisted-living/arizona/goodyear/a-paradise-for-parent-s-senior-living-llc,,A Paradise For Parents Senior Living,"15292 Campbell Avenue, Goodyear, Az 85395",https://app.seniorplace.com/communities/show/b916b3de-25b3-4808-99ab-b8ca6dd07cf4,1.0134146341463415,a:1:{i:0;i:137;},
,A Parents Paradise,"15922 North 164Th Lane, Surprise, Az 85388",https://www.seniorly.com/assisted-living/arizona/surprise/a-parent-s-paradise-llc,,A Parents Paradise And Care,"18175 West Banff Lane, Surprise, Az 85388",https://app.seniorplace.com/communities/show/7871b744-81a5-4561-8d1c-6f38223bfd3e,0.7723264540337711,a:1:{i:0;i:97;},
,A Place In The Sun,"6879 East Vernon Avenue, Scottsdale, Az 85257",https://www.seniorly.com/assisted-living/arizona/scottsdale/a-place-in-the-sun,,Aurora Place,"675 West Broadway Avenue, Apache Junction, Az 85120",https://app.seniorplace.com/communities/show/07d1e823-5cb3-4853-873f-51a9e0072259,0.6155606407322654,a:1:{i:0;i:111;},
,A Touch Of Elegance Care Home,"7983 West Martha Way, Peoria, Az 85381",https://www.seniorly.com/assisted-living/arizona/peoria/a-touch-of-elegance-care-home-llc,,A Touch Of Excelence,"7763 West Ludlow Drive, Peoria, Az 85381",https://app.seniorplace.com/communities/show/41b21cdc-1cfc-4014-9e21-df415b1d314f,0.7860446570972887,a:1:{i:0;i:130;},
,Abellavida Memory Care,"35203 North Central Avenue, Phoenix, Az 85086",https://www.seniorly.com/assisted-living/arizona/phoenix/abellavida-memory-care,,Bellaire Assisted Living,"15350 North 29Th Street, Phoenix, Az 85032",https://app.seniorplace.com/communities/show/76a0cbde-db3e-4b85-b9ec-796d666c78dc,0.6880952380952381,a:1:{i:0;i:107;},
,Abracadabra Assisted Living 2,"3501 West Wood Drive, Phoenix, Az 85029",https://www.seniorly.com/assisted-living/arizona/phoenix/abracadabra-assisted-living-2,,The Ark Of Arcadia Assisted Living,"3445 East Sheridan Street, Phoenix, Az 85008",https://app.seniorplace.com/communities/show/a40c465d-29f8-47c3-ad5d-1930e2509fea,0.6004385964912281,a:1:{i:0;i:107;},
,Absolute Assisted Living Adult Care Home,"3557 East Caballero Street, Mesa, Az 85213",https://www.seniorly.com/assisted-living/arizona/mesa/absolute-assisted-living-adult-care-home,,Sunset Adult Care Home,"4765 West Calle Don Tomas, Tucson, Az 85757",https://app.seniorplace.com/communities/show/29f24289-3d46-48bc-87b9-fa814b9223f0,0.6633387888707036,a:1:{i:0;i:116;},
,Acoya Mesa,"6502 East Brown Road, Mesa, Az 85205",https://www.seniorly.com/assisted-living/arizona/mesa/acoya-mesa,,Grand Court Of Mesa,"262 East Brown Road, Mesa, Az 85201",https://app.seniorplace.com/communities/show/a6ccc5af-8bd5-414d-858c-ab66d298513c,0.7503726708074534,a:1:{i:0;i:116;},
